feature,count,miss%,card.,mode,mode freq,mode%,2nd mode,2nd mode freq,2nd mode%
MSZoning,1460,0.0,5,RL,1151,78.83561643835615,RM,218,14.931506849315069
Street,1460,0.0,2,Pave,1454,99.58904109589041,Grvl,6,0.410958904109589
Alley,91,93.76712328767123,2,Grvl,50,3.4246575342465753,Pave,41,2.808219178082192
LotShape,1460,0.0,4,Reg,925,63.35616438356164,IR1,484,33.15068493150685
LandContour,1460,0.0,4,Lvl,1311,89.7945205479452,Bnk,63,4.315068493150685
Utilities,1460,0.0,2,AllPub,1459,99.93150684931507,NoSeWa,1,0.0684931506849315
LotConfig,1460,0.0,5,Inside,1052,72.05479452054794,Corner,263,18.013698630136986
LandSlope,1460,0.0,3,Gtl,1382,94.65753424657535,Mod,65,4.4520547945205475
Neighborhood,1460,0.0,25,NAmes,225,15.41095890410959,CollgCr,150,10.273972602739725
Condition1,1460,0.0,9,Norm,1260,86.3013698630137,Feedr,81,5.5479452054794525
Condition2,1460,0.0,8,Norm,1445,98.97260273972603,Feedr,6,0.410958904109589
BldgType,1460,0.0,5,1Fam,1220,83.56164383561644,TwnhsE,114,7.808219178082192
HouseStyle,1460,0.0,8,1Story,726,49.726027397260275,2Story,445,30.47945205479452
RoofStyle,1460,0.0,6,Gable,1141,78.15068493150686,Hip,286,19.589041095890412
RoofMatl,1460,0.0,8,CompShg,1434,98.21917808219179,Tar&Grv,11,0.7534246575342466
Exterior1st,1460,0.0,15,VinylSd,515,35.273972602739725,HdBoard,222,15.205479452054796
Exterior2nd,1460,0.0,16,VinylSd,504,34.52054794520548,MetalSd,214,14.657534246575343
MasVnrType,588,59.726027397260275,3,BrkFace,445,30.47945205479452,Stone,128,8.767123287671232
ExterQual,1460,0.0,4,TA,906,62.054794520547944,Gd,488,33.42465753424658
ExterCond,1460,0.0,5,TA,1282,87.8082191780822,Gd,146,10.0
Foundation,1460,0.0,6,PConc,647,44.31506849315068,CBlock,634,43.42465753424658
BsmtQual,1423,2.5342465753424657,4,TA,649,44.45205479452055,Gd,618,42.32876712328767
BsmtCond,1423,2.5342465753424657,4,TA,1311,89.7945205479452,Gd,65,4.4520547945205475
BsmtExposure,1422,2.6027397260273974,4,No,953,65.27397260273973,Av,221,15.136986301369863
BsmtFinType1,1423,2.5342465753424657,6,Unf,430,29.45205479452055,GLQ,418,28.63013698630137
BsmtFinType2,1422,2.6027397260273974,6,Unf,1256,86.02739726027397,Rec,54,3.6986301369863015
Heating,1460,0.0,6,GasA,1428,97.80821917808218,GasW,18,1.2328767123287672
HeatingQC,1460,0.0,5,Ex,741,50.753424657534254,TA,428,29.315068493150687
CentralAir,1460,0.0,2,Y,1365,93.4931506849315,N,95,6.506849315068493
Electrical,1459,0.0684931506849315,5,SBrkr,1334,91.36986301369862,FuseA,94,6.438356164383562
KitchenQual,1460,0.0,4,TA,735,50.34246575342466,Gd,586,40.136986301369866
Functional,1460,0.0,7,Typ,1360,93.15068493150685,Min2,34,2.328767123287671
FireplaceQu,770,47.26027397260274,5,Gd,380,26.027397260273972,TA,313,21.438356164383563
GarageType,1379,5.5479452054794525,6,Attchd,870,59.589041095890416,Detchd,387,26.506849315068493
GarageFinish,1379,5.5479452054794525,3,Unf,605,41.43835616438356,RFn,422,28.904109589041095
GarageQual,1379,5.5479452054794525,5,TA,1311,89.7945205479452,Fa,48,3.287671232876712
GarageCond,1379,5.5479452054794525,5,TA,1326,90.82191780821918,Fa,35,2.3972602739726026
PavedDrive,1460,0.0,3,Y,1340,91.78082191780823,N,90,6.164383561643835
PoolQC,7,99.52054794520548,3,Gd,3,0.2054794520547945,Ex,2,0.136986301369863
Fence,281,80.75342465753424,4,MnPrv,157,10.753424657534246,GdPrv,59,4.041095890410959
MiscFeature,54,96.30136986301369,4,Shed,49,3.356164383561644,Gar2,2,0.136986301369863
SaleType,1460,0.0,9,WD,1267,86.78082191780821,New,122,8.356164383561644
SaleCondition,1460,0.0,6,Normal,1198,82.05479452054794,Partial,125,8.561643835616438
